meter_id,customer_id,location,latitude,longitude,status,last_reading,communication_status,installation_date,meter_type
MTR-0001,CUST-1001,Sabunchi District,40.42775,49.920251,active,8890.4,online,2023-09-03,industrial
MTR-0002,CUST-1002,Port Authority,40.352658,49.840894,active,6163.2,online,2022-04-23,smart
MTR-0003,CUST-1003,Ramana,40.447586,49.908476,active,9153.9,online,2023-07-11,smart
MTR-0004,CUST-1004,Mingachevir West,40.744664,47.053716,active,1294.4,online,2020-06-20,smart
MTR-0005,CUST-1005,Mingachevir East,40.777214,47.086892,active,11682.8,online,2018-09-10,smart
MTR-0006,CUST-1006,Seaside Terminal,40.371564,49.845849,active,1020.8,online,2019-05-03,industrial
MTR-0007,CUST-1007,Sumqayit South,40.587995,49.614404,active,10042.5,online,2020-06-07,smart
MTR-0008,CUST-1008,Mingachevir West,40.761055,47.045506,active,7692.7,online,2023-04-06,commercial
MTR-0009,CUST-1009,Baku Commercial Hub,40.391384,49.884686,warning,6772.0,online,2020-01-08,industrial
MTR-0010,CUST-1010,Sabail District,40.372151,49.831035,active,10975.0,online,2023-06-07,commercial
MTR-0011,CUST-1011,Bibi-Heybat,40.306869,49.832436,active,3325.6,online,2023-09-18,smart
MTR-0012,CUST-1012,Mingachevir East,40.77541,47.077853,active,4471.6,online,2022-08-03,smart
MTR-0013,CUST-1013,Khatai District,40.400833,49.869585,active,5181.5,online,2021-07-20,smart
MTR-0014,CUST-1014,Baku Commercial Hub,40.395873,49.884132,active,8704.5,online,2022-05-25,industrial
MTR-0015,CUST-1015,Lankaran,38.741347,48.849043,active,11455.0,online,2020-09-25,industrial
MTR-0016,CUST-1016,Nizami District,40.37623,49.816192,warning,10131.7,intermittent,2022-04-05,commercial
MTR-0017,CUST-1017,Shamakhi,40.637875,48.641181,error,11038.2,offline,2020-08-01,commercial
MTR-0018,CUST-1018,Sabunchi District,40.454873,49.938362,active,883.5,online,2018-02-24,commercial
MTR-0019,CUST-1019,Bibi-Heybat,40.319481,49.83434,active,1684.0,intermittent,2021-09-06,industrial
MTR-0020,CUST-1020,Mingachevir East,40.76883,47.083198,active,9112.1,online,2019-12-10,industrial
MTR-0021,CUST-1021,Masazir,40.509854,49.764496,active,5527.5,online,2019-02-11,smart
MTR-0022,CUST-1022,Yasamal District,40.385649,49.826903,active,1037.7,online,2018-04-03,industrial
MTR-0023,CUST-1023,Sabail District,40.373789,49.821126,active,8093.9,online,2022-03-24,smart
MTR-0024,CUST-1024,Heydar Aliyev Zone,40.412286,49.86429,active,2446.8,online,2023-07-12,smart
MTR-0025,CUST-1025,Absheron East,40.417333,49.990915,active,7910.8,online,2018-01-13,industrial
MTR-0026,CUST-1026,Lankaran,38.762018,48.839278,active,6528.2,online,2021-03-09,smart
MTR-0027,CUST-1027,Baku Commercial Hub,40.387494,49.882698,active,1355.3,online,2022-01-03,industrial
MTR-0028,CUST-1028,Sumqayit Central,40.579989,49.624569,active,10848.8,online,2021-01-13,smart
MTR-0029,CUST-1029,Mingachevir East,40.780796,47.088554,active,8419.8,online,2024-09-22,industrial
MTR-0030,CUST-1030,Bibi-Heybat,40.299644,49.813901,active,8881.7,online,2023-06-02,smart
MTR-0031,CUST-1031,Khatai District,40.392525,49.880086,active,871.2,online,2018-03-03,commercial
MTR-0032,CUST-1032,Bayil District,40.340039,49.851855,active,11310.8,online,2019-10-20,commercial
MTR-0033,CUST-1033,Sabail District,40.366581,49.831577,active,6368.8,online,2019-11-23,smart
MTR-0034,CUST-1034,Shirvan Central,39.930161,48.916874,warning,3740.0,online,2024-02-01,smart
MTR-0035,CUST-1035,Baku Commercial Hub,40.398635,49.87189,active,6544.1,online,2020-03-12,commercial
MTR-0036,CUST-1036,Binagadi District,40.459378,49.814086,active,10038.2,online,2020-10-26,industrial
MTR-0037,CUST-1037,Buzovna,40.545235,50.109513,active,1422.3,online,2020-02-04,smart
MTR-0038,CUST-1038,Balakhani,40.454663,49.928453,active,4246.0,online,2023-05-17,industrial
MTR-0039,CUST-1039,Bibi-Heybat,40.302534,49.832245,active,7684.6,online,2018-01-11,smart
MTR-0040,CUST-1040,Qaradag District,40.316113,49.982859,inactive,6709.8,offline,2022-01-04,smart
MTR-0041,CUST-1041,Binagadi District,40.461352,49.823731,active,625.1,online,2022-09-05,smart
MTR-0042,CUST-1042,Absheron East,40.408823,49.974248,active,2678.9,online,2023-02-12,smart
MTR-0043,CUST-1043,Balakhani,40.476524,49.932191,active,2023.7,intermittent,2024-03-26,smart
MTR-0044,CUST-1044,Nizami District,40.387442,49.813744,inactive,9432.2,offline,2024-11-28,smart
